recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
10,11.0,b'gal',b'missionplanning',b'g',b'1',1984.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'vh',b'h',b'n',b'h',b'n',b'n',b'n',6.0,24.0
11,12.0,b'gal',b'missionplanning',b'g',b'1',1980.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'vh',b'vh',b'n',b'h',b'n',b'n',b'n',100.0,360.0
12,13.0,b'gal',b'missionplanning',b'g',b'1',1985.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'vh',b'n',b'n',b'l',b'n',b'n',b'n',11.3,36.0
13,14.0,b'gal',b'missionplanning',b'g',b'1',1980.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'h',b'l',b'h',b'h',b'h',b'l',b'vl',b'n',b'n',b'n',100.0,215.0
14,15.0,b'gal',b'missionplanning',b'g',b'1',1983.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'vh',b'h',b'n',b'h',b'n',b'n',b'n',20.0,48.0
15,16.0,b'gal',b'missionplanning',b'g',b'1',1982.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'n',b'n',b'n',b'vl',b'n',b'n',b'n',100.0,360.0
16,17.0,b'gal',b'missionplanning',b'g',b'1',1980.0,b'semidetached',b'n',b'l',b'h',b'n',b'xh',b'l',b'l',b'h',b'vh',b'vh',b'n',b'h',b'n',b'n',b'n',150.0,324.0
17,18.0,b'gal',b'missionplanning',b'g',b'1',1984.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'n',b'n',31.5,60.0
18,19.0,b'gal',b'missionplanning',b'g',b'1',1983.0,b'semidetached',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'h',b'vh',b'h',b'n',b'h',b'n',b'n',b'n',15.0,48.0
19,20.0,b'gal',b'missionplanning',b'g',b'1',1984.0,b'semidetached',b'n',b'l',b'h',b'n',b'xh',b'l',b'l',b'h',b'h',b'n',b'n',b'h',b'n',b'n',b'n',32.5,60.0
20,21.0,b'X',b'avionicsmonitoring',b'g',b'2',1985.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',19.7,60.0
21,22.0,b'X',b'avionicsmonitoring',b'g',b'2',1985.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',66.6,300.0
22,23.0,b'X',b'simulation',b'g',b'2',1985.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',29.5,120.0
23,24.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'h',b'n',b'n',b'h',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'n',b'n',b'n',b'n',15.0,90.0
24,25.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'h',b'n',b'h',b'n',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'n',b'n',b'n',b'n',38.0,210.0
25,26.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'n',b'n',b'n',b'n',10.0,48.0
26,27.0,b'X',b'realdataprocessing',b'g',b'2',1982.0,b'semidetached',b'n',b'vh',b'h',b'vh',b'vh',b'l',b'h',b'vh',b'h',b'n',b'l',b'h',b'vh',b'vh',b'l',15.4,70.0
27,28.0,b'X',b'realdataprocessing',b'g',b'2',1982.0,b'semidetached',b'n',b'vh',b'h',b'vh',b'vh',b'l',b'h',b'vh',b'h',b'n',b'l',b'h',b'vh',b'vh',b'l',48.5,239.0
28,29.0,b'X',b'realdataprocessing',b'g',b'2',1982.0,b'semidetached',b'n',b'vh',b'h',b'vh',b'vh',b'l',b'h',b'vh',b'h',b'n',b'l',b'h',b'vh',b'vh',b'l',16.3,82.0
29,30.0,b'X',b'communications',b'g',b'2',1982.0,b'semidetached',b'n',b'vh',b'h',b'vh',b'vh',b'l',b'h',b'vh',b'h',b'n',b'l',b'h',b'vh',b'vh',b'l',12.8,62.0
30,31.0,b'X',b'batchdataprocessing',b'g',b'2',1982.0,b'semidetached',b'n',b'vh',b'h',b'vh',b'vh',b'l',b'h',b'vh',b'h',b'n',b'l',b'h',b'vh',b'vh',b'l',32.6,170.0
31,32.0,b'X',b'datacapture',b'g',b'2',1982.0,b'semidetached',b'n',b'vh',b'h',b'vh',b'vh',b'l',b'h',b'vh',b'h',b'n',b'l',b'h',b'vh',b'vh',b'l',35.5,192.0
32,33.0,b'X',b'missionplanning',b'g',b'2',1985.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',5.5,18.0
33,34.0,b'X',b'avionicsmonitoring',b'g',b'2',1987.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',10.4,50.0
34,35.0,b'X',b'avionicsmonitoring',b'g',b'2',1987.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',14.0,60.0
35,36.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'h',b'n',b'h',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',6.5,42.0
36,37.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'n',b'n',b'h',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',13.0,60.0
37,38.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'n',b'n',b'h',b'n',b'n',b'n',b'n',b'n',b'n',b'h',b'n',b'h',b'h',b'h',b'n',90.0,444.0
38,39.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'n',b'n',b'h',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',8.0,42.0
39,40.0,b'X',b'monitor_control',b'g',b'2',1986.0,b'semidetached',b'n',b'n',b'h',b'h',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',b'n',16.0,114.0
40,41.0,b'hst',b'datacapture',b'g',b'2',1980.0,b'semidetached',b'n',b'h',b'h',b'vh',b'h',b'l',b'h',b'h',b'n',b'h',b'l',b'h',b'h',b'n',b'l',177.9,1248.0
41,42.0,b'slp',b'launchprocessing',b'g',b'6',1975.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'h',b'n',b'n',b'h',b'vl',b'n',302.0,2400.0
42,43.0,b'Y',b'application_ground',b'g',b'5',1982.0,b'semidetached',b'n',b'h',b'l',b'n',b'n',b'h',b'n',b'h',b'h',b'n',b'n',b'n',b'h',b'h',b'n',282.1,1368.0
43,44.0,b'Y',b'application_ground',b'g',b'5',1982.0,b'semidetached',b'h',b'h',b'l',b'n',b'n',b'n',b'h',b'h',b'h',b'n',b'n',b'n',b'h',b'n',b'n',284.7,973.0
44,45.0,b'Y',b'avionicsmonitoring',b'g',b'5',1982.0,b'semidetached',b'h',b'h',b'n',b'n',b'n',b'l',b'l',b'n',b'h',b'h',b'n',b'h',b'n',b'n',b'n',79.0,400.0
45,46.0,b'Y',b'avionicsmonitoring',b'g',b'5',1977.0,b'semidetached',b'l',b'n',b'n',b'n',b'n',b'l',b'l',b'h',b'h',b'vh',b'n',b'h',b'l',b'l',b'h',423.0,2400.0
46,47.0,b'Y',b'missionplanning',b'g',b'5',1977.0,b'semidetached',b'n',b'n',b'n',b'n',b'n',b'l',b'n',b'h',b'vh',b'vh',b'l',b'h',b'h',b'n',b'n',190.0,420.0
47,48.0,b'Y',b'missionplanning',b'g',b'5',1984.0,b'semidetached',b'n',b'n',b'h',b'n',b'h',b'n',b'n',b'h',b'h',b'n',b'n',b'h',b'h',b'n',b'h',47.5,252.0
48,49.0,b'Y',b'missionplanning',b'g',b'5',1980.0,b'semidetached',b'vh',b'n',b'xh',b'h',b'h',b'l',b'l',b'n',b'h',b'n',b'n',b'n',b'l',b'h',b'n',21.0,107.0
49,50.0,b'Y',b'simulation',b'g',b'5',1983.0,b'semidetached',b'n',b'h',b'h',b'vh',b'n',b'n',b'h',b'h',b'h',b'h',b'n',b'h',b'l',b'l',b'h',78.0,571.4
50,51.0,b'Y',b'simulation',b'g',b'5',1984.0,b'semidetached',b'n',b'h',b'h',b'vh',b'n',b'n',b'h',b'h',b'h',b'h',b'n',b'h',b'l',b'l',b'h',11.4,98.8
51,52.0,b'Y',b'simulation',b'g',b'5',1985.0,b'semidetached',b'n',b'h',b'h',b'vh',b'n',b'n',b'h',b'h',b'h',b'h',b'n',b'h',b'l',b'l',b'h',19.3,155.0
52,53.0,b'Y',b'missionplanning',b'g',b'5',1979.0,b'semidetached',b'h',b'n',b'vh',b'h',b'h',b'l',b'h',b'h',b'n',b'n',b'h',b'h',b'l',b'vh',b'h',101.0,750.0
53,54.0,b'Y',b'missionplanning',b'g',b'5',1979.0,b'semidetached',b'h',b'n',b'h',b'h',b'h',b'l',b'h',b'n',b'h',b'n',b'n',b'n',b'l',b'vh',b'n',219.0,2120.0
54,55.0,b'Y',b'utility',b'g',b'5',1979.0,b'semidetached',b'h',b'n',b'h',b'h',b'h',b'l',b'h',b'n',b'h',b'n',b'n',b'n',b'l',b'vh',b'n',50.0,370.0
55,56.0,b'spl',b'datacapture',b'g',b'2',1979.0,b'semidetached',b'vh',b'h',b'h',b'vh',b'vh',b'n',b'n',b'vh',b'vh',b'vh',b'n',b'h',b'h',b'h',b'l',227.0,1181.0
56,57.0,b'spl',b'batchdataprocessing',b'g',b'2',1977.0,b'semidetached',b'n',b'h',b'vh',b'n',b'n',b'l',b'n',b'h',b'n',b'vh',b'l',b'n',b'h',b'n',b'l',70.0,278.0
57,58.0,b'de',b'avionicsmonitoring',b'g',b'2',1979.0,b'semidetached',b'h',b'l',b'h',b'n',b'n',b'l',b'l',b'n',b'n',b'n',b'n',b'h',b'h',b'n',b'l',0.9,8.4
58,59.0,b'slp',b'operatingsystem',b'g',b'6',1974.0,b'semidetached',b'vh',b'l',b'xh',b'xh',b'vh',b'l',b'l',b'h',b'vh',b'h',b'vl',b'h',b'vl',b'vl',b'h',980.0,4560.0
59,60.0,b'slp',b'operatingsystem',b'g',b'6',1975.0,b'embedded',b'n',b'l',b'h',b'n',b'n',b'l',b'l',b'vh',b'n',b'vh',b'h',b'h',b'n',b'l',b'n',350.0,720.0
60,61.0,b'Y',b'operatingsystem',b'g',b'5',1976.0,b'embedded',b'h',b'n',b'xh',b'h',b'h',b'l',b'l',b'h',b'n',b'n',b'h',b'h',b'h',b'h',b'n',70.0,458.0
61,62.0,b'Y',b'utility',b'g',b'5',1979.0,b'embedded',b'h',b'n',b'xh',b'h',b'h',b'l',b'l',b'h',b'n',b'n',b'h',b'h',b'h',b'h',b'n',271.0,2460.0
62,63.0,b'Y',b'avionicsmonitoring',b'g',b'5',1971.0,b'organic',b'n',b'n',b'n',b'n',b'n',b'l',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'l',b'n',90.0,162.0
63,64.0,b'Y',b'avionicsmonitoring',b'g',b'5',1980.0,b'organic',b'n',b'n',b'n',b'n',b'n',b'l',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'l',b'n',40.0,150.0
64,65.0,b'Y',b'avionicsmonitoring',b'g',b'5',1979.0,b'embedded',b'h',b'n',b'h',b'h',b'n',b'l',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'n',b'n',137.0,636.0
65,66.0,b'Y',b'avionicsmonitoring',b'g',b'5',1977.0,b'embedded',b'h',b'n',b'h',b'h',b'n',b'h',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'vl',b'n',150.0,882.0
66,67.0,b'Y',b'avionicsmonitoring',b'g',b'5',1976.0,b'embedded',b'vh',b'n',b'h',b'h',b'n',b'l',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'n',b'n',339.0,444.0
67,68.0,b'Y',b'avionicsmonitoring',b'g',b'5',1983.0,b'organic',b'l',b'h',b'l',b'n',b'n',b'h',b'l',b'h',b'h',b'h',b'n',b'h',b'n',b'l',b'n',240.0,192.0
68,69.0,b'Y',b'avionicsmonitoring',b'g',b'5',1978.0,b'semidetached',b'h',b'n',b'h',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',144.0,576.0
69,70.0,b'Y',b'avionicsmonitoring',b'g',b'5',1979.0,b'semidetached',b'n',b'l',b'n',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',151.0,432.0
70,71.0,b'Y',b'avionicsmonitoring',b'g',b'5',1979.0,b'semidetached',b'n',b'l',b'h',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',34.0,72.0
71,72.0,b'Y',b'avionicsmonitoring',b'g',b'5',1979.0,b'semidetached',b'n',b'n',b'h',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',98.0,300.0
72,73.0,b'Y',b'avionicsmonitoring',b'g',b'5',1979.0,b'semidetached',b'n',b'n',b'h',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',85.0,300.0
73,74.0,b'Y',b'avionicsmonitoring',b'g',b'5',1982.0,b'semidetached',b'n',b'l',b'n',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',20.0,240.0
74,75.0,b'Y',b'avionicsmonitoring',b'g',b'5',1978.0,b'semidetached',b'n',b'l',b'n',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',111.0,600.0
75,76.0,b'Y',b'avionicsmonitoring',b'g',b'5',1978.0,b'semidetached',b'h',b'vh',b'h',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',162.0,756.0
76,77.0,b'Y',b'avionicsmonitoring',b'g',b'5',1978.0,b'semidetached',b'h',b'h',b'vh',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',352.0,1200.0
77,78.0,b'Y',b'operatingsystem',b'g',b'5',1979.0,b'semidetached',b'h',b'n',b'vh',b'n',b'vh',b'l',b'n',b'h',b'h',b'h',b'h',b'h',b'l',b'l',b'l',165.0,97.0
78,79.0,b'Y',b'missionplanning',b'g',b'5',1984.0,b'embedded',b'h',b'n',b'vh',b'h',b'h',b'l',b'vh',b'h',b'n',b'n',b'h',b'h',b'h',b'vh',b'h',60.0,409.0
79,80.0,b'Y',b'missionplanning',b'g',b'5',1984.0,b'embedded',b'h',b'n',b'vh',b'h',b'h',b'l',b'vh',b'h',b'n',b'n',b'h',b'h',b'h',b'vh',b'h',100.0,703.0
80,81.0,b'hst',b'Avionics',b'f',b'2',1980.0,b'embedded',b'h',b'vh',b'vh',b'xh',b'xh',b'h',b'h',b'n',b'n',b'n',b'l',b'l',b'n',b'n',b'h',32.0,1350.0
81,82.0,b'hst',b'Avionics',b'f',b'2',1980.0,b'embedded',b'h',b'h',b'h',b'vh',b'xh',b'h',b'h',b'h',b'h',b'h',b'h',b'h',b'h',b'n',b'n',53.0,480.0
82,84.0,b'spl',b'Avionics',b'f',b'3',1977.0,b'embedded',b'h',b'l',b'vh',b'vh',b'xh',b'l',b'n',b'vh',b'vh',b'vh',b'vl',b'vl',b'h',b'h',b'n',41.0,599.0
83,89.0,b'spl',b'Avionics',b'f',b'3',1977.0,b'embedded',b'h',b'l',b'vh',b'vh',b'xh',b'l',b'n',b'vh',b'vh',b'vh',b'vl',b'vl',b'h',b'h',b'n',24.0,430.0
84,91.0,b'Y',b'Avionics',b'f',b'5',1977.0,b'embedded',b'vh',b'h',b'vh',b'xh',b'xh',b'n',b'n',b'h',b'h',b'h',b'h',b'h',b'h',b'n',b'h',165.0,4178.2
85,92.0,b'Y',b'science',b'f',b'5',1977.0,b'embedded',b'vh',b'h',b'vh',b'xh',b'xh',b'n',b'n',b'h',b'h',b'h',b'h',b'h',b'h',b'n',b'h',65.0,1772.5
86,93.0,b'Y',b'Avionics',b'f',b'5',1977.0,b'embedded',b'vh',b'h',b'vh',b'xh',b'xh',b'n',b'l',b'h',b'h',b'h',b'h',b'h',b'h',b'n',b'h',70.0,1645.9
87,94.0,b'Y',b'Avionics',b'f',b'5',1977.0,b'embedded',b'vh',b'h',b'xh',b'xh',b'xh',b'n',b'n',b'h',b'h',b'h',b'h',b'h',b'h',b'n',b'h',50.0,1924.5
88,97.0,b'gal',b'Avionics',b'f',b'5',1982.0,b'embedded',b'vh',b'l',b'vh',b'vh',b'xh',b'l',b'l',b'h',b'l',b'n',b'vl',b'l',b'l',b'h',b'h',7.25,648.0
89,98.0,b'Y',b'Avionics',b'f',b'5',1980.0,b'embedded',b'vh',b'h',b'vh',b'xh',b'xh',b'n',b'n',b'h',b'h',b'h',b'h',b'h',b'h',b'n',b'h',233.0,8211.0
90,99.0,b'X',b'Avionics',b'f',b'2',1983.0,b'embedded',b'h',b'n',b'vh',b'vh',b'vh',b'h',b'h',b'n',b'n',b'n',b'l',b'l',b'n',b'n',b'h',16.3,480.0
91,100.0,b'X',b'Avionics',b'f',b'2',1983.0,b'embedded',b'h',b'n',b'vh',b'vh',b'vh',b'h',b'h',b'n',b'n',b'n',b'l',b'l',b'n',b'n',b'h',6.2,12.0
92,101.0,b'X',b'science',b'f',b'2',1983.0,b'embedded',b'h',b'n',b'vh',b'vh',b'vh',b'h',b'h',b'n',b'n',b'n',b'l',b'l',b'n',b'n',b'h',3.0,38.0
